Task ID,Repository,Data Row,Sheet Row,QA Status,QA Stage,QA Updated At,QA Details,Generated Task Path,QA Report Path
bco__ringbuf-removelastwhere,bco,1,2,SKIPPED,qa,2026-06-22T22:22:16Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/bco__ringbuf-removelastwhere,
bco__priority-tiebreak,bco,2,3,SKIPPED,qa,2026-06-22T22:22:29Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/bco__priority-tiebreak,
durab__retry-backoff-offbyone,durab,3,4,SKIPPED,qa,2026-06-22T22:22:39Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/durab__retry-backoff-offbyone,
durab__metrics-bucket-boundary,durab,4,5,SKIPPED,qa,2026-06-22T22:22:48Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/durab__metrics-bucket-boundary,
kindling__treemap-set-shift,kindling,5,6,SKIPPED,qa,2026-06-22T22:05:27Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__treemap-set-shift,
kindling__histogram-cumulative,kindling,6,7,SKIPPED,qa,2026-06-22T22:05:37Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__histogram-cumulative,
swarmsync__vectorclock-disjoint-concurrency,SwarmSync,1,2,SKIPPED,qa,2026-06-22T22:29:07Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/swarmsync__vectorclock-disjoint-concurrency,
swarmsync__hlc-witness-logical-tiebreak,SwarmSync,2,3,SKIPPED,qa,2026-06-22T22:29:20Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/swarmsync__hlc-witness-logical-tiebreak,
swarmsync__mvregister-cross-node-supersede,SwarmSync,3,4,SKIPPED,qa,2026-06-22T22:29:32Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/swarmsync__mvregister-cross-node-supersede,
swarmsync__ormap-merge-lww-stale-value,SwarmSync,4,5,SKIPPED,qa,2026-06-22T22:29:45Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/swarmsync__ormap-merge-lww-stale-value,
swarmsync__rga-insertafter-position,SwarmSync,5,6,SKIPPED,qa,2026-06-22T22:29:59Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/swarmsync__rga-insertafter-position,
bco__ringbuffer-removelast-shift-bound,bco,6,7,SKIPPED,qa,2026-06-22T22:30:13Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/bco__ringbuffer-removelast-shift-bound,
bco__ratelimit-prune-cutoff-boundary,bco,7,8,SKIPPED,qa,2026-06-22T22:30:26Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/bco__ratelimit-prune-cutoff-boundary,
bco__ratelimit-claim-window-seed-count,bco,8,9,SKIPPED,qa,2026-06-22T22:30:40Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/bco__ratelimit-claim-window-seed-count,
bco__engine-grace-prior-boost-boundary,bco,9,10,SKIPPED,qa,2026-06-22T22:30:55Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/bco__engine-grace-prior-boost-boundary,
bco__ringbuffer-entries-newest-index,bco,10,11,SKIPPED,qa,2026-06-22T22:31:11Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/bco__ringbuffer-entries-newest-index,
drift__and-shortcircuit-eval,Drift,11,12,SKIPPED,qa,2026-06-22T22:31:23Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/drift__and-shortcircuit-eval,
drift__binop-associativity,Drift,12,13,SKIPPED,qa,2026-06-22T22:31:35Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/drift__binop-associativity,
drift__merge-override-order,Drift,13,14,SKIPPED,qa,2026-06-22T22:31:49Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/drift__merge-override-order,
drift__range-loop-bounds,Drift,14,15,SKIPPED,qa,2026-06-22T22:32:03Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/drift__range-loop-bounds,
drift__reduce-arg-order,Drift,15,16,SKIPPED,qa,2026-06-22T22:32:15Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/drift__reduce-arg-order,
kindling__histogram-cumulative-bound,kindling,16,17,SKIPPED,qa,2026-06-22T22:32:28Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__histogram-cumulative-bound,
kindling__quantile-psquare-cell-index,kindling,17,18,SKIPPED,qa,2026-06-22T22:32:42Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__quantile-psquare-cell-index,
kindling__lru-eviction-threshold,kindling,18,19,SKIPPED,qa,2026-06-22T22:32:54Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__lru-eviction-threshold,
kindling__tagindex-add-dedup-search,kindling,19,20,SKIPPED,qa,2026-06-22T22:33:09Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__tagindex-add-dedup-search,
kindling__treemap-prefix-start,kindling,20,21,SKIPPED,qa,2026-06-22T22:33:22Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__treemap-prefix-start,
kindling__topk-eviction,kindling,1,2,SKIPPED,qa,2026-06-22T22:35:08Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__topk-eviction,
kindling__glob-range-upper,kindling,2,3,SKIPPED,qa,2026-06-22T22:35:19Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__glob-range-upper,
kindling__jobqueue-backoff,kindling,3,4,SKIPPED,qa,2026-06-22T22:35:30Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__jobqueue-backoff,
kindling__coalesce-window,kindling,4,5,SKIPPED,qa,2026-06-22T22:35:40Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__coalesce-window,
kindling__valueshape-ipv4,kindling,5,6,SKIPPED,qa,2026-06-22T22:35:52Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__valueshape-ipv4,
kindling__json2-exponent,kindling,6,7,SKIPPED,qa,2026-06-22T22:36:05Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__json2-exponent,
kindling__index-intersect,kindling,7,8,SKIPPED,qa,2026-06-22T22:36:17Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__index-intersect,
kindling__uri-short-escape,kindling,8,9,SKIPPED,qa,2026-06-22T22:36:29Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__uri-short-escape,
kindling__validate2-timestamp,kindling,9,10,SKIPPED,qa,2026-06-22T22:36:39Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__validate2-timestamp,
kindling__sample-reservoir,kindling,10,11,SKIPPED,qa,2026-06-22T22:36:52Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__sample-reservoir,
kindling__csv-trailing-newline,kindling,1,2,SKIPPED,qa,2026-06-22T23:07:30Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__csv-trailing-newline,
kindling__ring-head-advance,kindling,2,3,SKIPPED,qa,2026-06-22T23:07:41Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__ring-head-advance,
kindling__textproc-truncate,kindling,3,4,SKIPPED,qa,2026-06-22T23:07:51Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__textproc-truncate,
kindling__redaction-preserve,kindling,4,5,SKIPPED,qa,2026-06-22T23:08:01Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__redaction-preserve,
kindling__base32-decode-shift,kindling,5,6,SKIPPED,qa,2026-06-22T23:08:13Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__base32-decode-shift,
kindling__tar-block-count,kindling,6,7,SKIPPED,qa,2026-06-22T23:08:25Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__tar-block-count,
kindling__tagindex-dedup,kindling,7,8,SKIPPED,qa,2026-06-22T23:08:36Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__tagindex-dedup,
kindling__base64x-last-group,kindling,1,2,SKIPPED,qa,2026-06-22T23:17:45Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__base64x-last-group,
kindling__queryplanner-intersect-card,kindling,2,3,SKIPPED,qa,2026-06-22T23:17:58Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__queryplanner-intersect-card,
kindling__schemastore-version,kindling,3,4,SKIPPED,qa,2026-06-22T23:18:09Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__schemastore-version,
kindling__migrationv2-upto,kindling,4,5,SKIPPED,qa,2026-06-22T23:18:20Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__migrationv2-upto,
kindling__snapshot2-prune,kindling,5,6,SKIPPED,qa,2026-06-22T23:18:31Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__snapshot2-prune,
kindling__asyncbatch-flush-size,kindling,6,7,SKIPPED,qa,2026-06-22T23:18:43Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__asyncbatch-flush-size,
kindling__asyncqueue-full,kindling,7,8,SKIPPED,qa,2026-06-22T23:18:55Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__asyncqueue-full,
kindling__args-positional,kindling,8,9,SKIPPED,qa,2026-06-22T23:19:06Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__args-positional,
kindling__log-level-threshold,kindling,9,10,SKIPPED,qa,2026-06-22T23:19:17Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__log-level-threshold,
kindling__formatlog-newline,kindling,10,11,SKIPPED,qa,2026-06-22T23:19:29Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__formatlog-newline,
kindling__topk-claim-accounting,kindling,1,2,SKIPPED,qa,2026-06-23T02:00:29Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__topk-claim-accounting,
kindling__jobqueue-backoff-scaling,kindling,1,2,SKIPPED,qa,2026-06-23T02:04:57Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/kindling__jobqueue-backoff-scaling,
swarmsync__merkle-faastdiff-structural,SwarmSync,1,2,SKIPPED,qa,2026-06-23T05:14:59Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/swarmsync__merkle-faastdiff-structural,
swarmsync__shard-rebalance-rotation,SwarmSync,1,2,SKIPPED,qa,2026-06-23T06:15:24Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/swarmsync__shard-rebalance-rotation,
swarmsync__ringhash-lookupn-count,SwarmSync,2,3,SKIPPED,qa,2026-06-23T06:15:46Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/swarmsync__ringhash-lookupn-count,
swarmsync__ring-sorted-insert,SwarmSync,3,4,SKIPPED,qa,2026-06-23T06:16:09Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/swarmsync__ring-sorted-insert,
swarmsync__bully-liveness-scope,SwarmSync,4,5,SKIPPED,qa,2026-06-23T06:16:25Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/swarmsync__bully-liveness-scope,
swarmsync__bounded-load-totalload,SwarmSync,5,6,SKIPPED,qa,2026-06-23T06:16:37Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/swarmsync__bounded-load-totalload,
swarmsync__shard-transfer-precondition,SwarmSync,6,7,SKIPPED,qa,2026-06-23T06:16:48Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/swarmsync__shard-transfer-precondition,
swarmsync__merkle-fastdiff-cross-recurse,SwarmSync,7,8,SKIPPED,qa,2026-06-23T06:17:00Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/swarmsync__merkle-fastdiff-cross-recurse,
swarmsync__merkle-proof-sibling-side,SwarmSync,8,9,SKIPPED,qa,2026-06-23T06:17:14Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/swarmsync__merkle-proof-sibling-side,
swarmsync__dag-reachable-base-case,SwarmSync,9,10,SKIPPED,qa,2026-06-23T06:17:27Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/swarmsync__dag-reachable-base-case,
swarmsync__wal-truncate-wrong-half,SwarmSync,10,11,SKIPPED,qa,2026-06-23T06:17:42Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/swarmsync__wal-truncate-wrong-half,
swarmsync__skiplist-delete-base-level,SwarmSync,11,12,SKIPPED,qa,2026-06-23T06:17:53Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/swarmsync__skiplist-delete-base-level,
swarmsync__skiplist-range-lower-bound,SwarmSync,12,13,SKIPPED,qa,2026-06-23T06:18:13Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/swarmsync__skiplist-range-lower-bound,
swarmsync__orset-merge-tag-union,SwarmSync,13,14,SKIPPED,qa,2026-06-23T06:18:27Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/swarmsync__orset-merge-tag-union,
swarmsync__ewflag-merge-prunes-dots,SwarmSync,14,15,SKIPPED,qa,2026-06-23T06:18:40Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/swarmsync__ewflag-merge-prunes-dots,
swarmsync__pncounter-merge-neg-additive,SwarmSync,15,16,SKIPPED,qa,2026-06-23T06:18:54Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/swarmsync__pncounter-merge-neg-additive,
swarmsync__circuit-halfopen-close-threshold,SwarmSync,16,17,SKIPPED,qa,2026-06-23T06:19:07Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/swarmsync__circuit-halfopen-close-threshold,
swarmsync__swim-suspicion-timeout,SwarmSync,17,18,SKIPPED,qa,2026-06-23T06:19:19Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/swarmsync__swim-suspicion-timeout,
swarmsync__sliding-window-phase-reset,SwarmSync,18,19,SKIPPED,qa,2026-06-23T06:19:39Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/swarmsync__sliding-window-phase-reset,
cryograph__floyd-warshall-path-successor,CryoGraph,1,2,SKIPPED,qa,2026-06-23T18:51:30Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/cryograph__floyd-warshall-path-successor,
cryograph__astar-gscore-accumulation,CryoGraph,2,3,SKIPPED,qa,2026-06-23T18:51:41Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/cryograph__astar-gscore-accumulation,
cryograph__boruvka-component-cut-edge,CryoGraph,3,4,SKIPPED,qa,2026-06-23T18:51:54Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/cryograph__boruvka-component-cut-edge,
cryograph__mincut-residual-partition,CryoGraph,4,5,SKIPPED,qa,2026-06-23T18:52:05Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/cryograph__mincut-residual-partition,
cryograph__bipartite-augmenting-path,CryoGraph,5,6,SKIPPED,qa,2026-06-23T18:52:16Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/cryograph__bipartite-augmenting-path,
cryograph__transitivity-triple-count,CryoGraph,6,7,SKIPPED,qa,2026-06-23T18:52:27Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/cryograph__transitivity-triple-count,
cryograph__kcore-peel-threshold,CryoGraph,7,8,SKIPPED,qa,2026-06-23T18:52:39Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/cryograph__kcore-peel-threshold,
cryograph__closeness-wf-normalization,CryoGraph,8,9,SKIPPED,qa,2026-06-23T18:52:50Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/cryograph__closeness-wf-normalization,
cryograph__katz-propagation-direction,CryoGraph,9,10,SKIPPED,qa,2026-06-23T18:53:02Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/cryograph__katz-propagation-direction,
cryograph__nmi-entropy-normalization,CryoGraph,10,11,SKIPPED,qa,2026-06-23T18:53:14Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/cryograph__nmi-entropy-normalization,
worknest__d4fcf27708be,worknest,94,95,SKIPPED,qa,2026-06-23T21:56:04Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/worknest__d4fcf27708be,
ledgercore__695528a95d4e,ledgercore,522,523,SKIPPED,qa,2026-06-23T21:56:30Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/ledgercore__695528a95d4e,
timewindow-lib__9e26d29b51b0,timewindow-lib,469,470,SKIPPED,qa,2026-06-24T19:03:49Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/timewindow-lib__9e26d29b51b0,
repayment-service__c7ccacf23f89,repayment-service,70,71,SKIPPED,qa,2026-06-23T22:23:22Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/repayment-service__c7ccacf23f89,
lecturn__cbaf1ee7b488,lecturn,7,8,SKIPPED,qa,2026-06-24T01:02:59Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/lecturn__cbaf1ee7b488,
repflow-frontend__d0e8c510d44e,repflow-frontend,8,9,SKIPPED,qa,2026-06-24T01:03:13Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/repflow-frontend__d0e8c510d44e,
repflow-frontend__f3304413b50e,repflow-frontend,9,10,SKIPPED,qa,2026-06-24T01:03:23Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/repflow-frontend__f3304413b50e,
vault-service__d1fe39bd955d,vault-service,386,387,SKIPPED,qa,2026-06-24T01:03:36Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/vault-service__d1fe39bd955d,
localpay-system-and-api__3df1d6b35be9,LocalPay-System-and-API,57,58,SKIPPED,qa,2026-06-24T01:03:49Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/localpay-system-and-api__3df1d6b35be9,
repflow-frontend__c8b970d05e38,repflow-frontend,71,72,SKIPPED,qa,2026-06-24T01:04:00Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/repflow-frontend__c8b970d05e38,
vault-service__52608cf0c6bb,vault-service,475,476,SKIPPED,qa,2026-06-24T01:04:12Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/vault-service__52608cf0c6bb,
vault-service__6740fa2d61ec,vault-service,476,477,SKIPPED,qa,2026-06-24T01:04:25Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/vault-service__6740fa2d61ec,
godhand__550c995fb17c,godhand,50,51,SKIPPED,qa,2026-06-24T01:04:37Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/godhand__550c995fb17c,
meridian__44eeae0f868b,meridian,4,5,SKIPPED,qa,2026-06-24T19:03:37Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/meridian__44eeae0f868b,
pantry__3c79d183b353,pantry,444,445,SKIPPED,qa,2026-06-24T01:05:03Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/pantry__3c79d183b353,
dineops__0646152b8e47,dineops,406,407,ERROR,generation,2026-06-24T01:05:14Z,Row 406 is missing required columns: Visible Test Command Guess,,
pantry__db71cbed2b6e,pantry,445,446,SKIPPED,qa,2026-06-24T01:05:26Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/pantry__db71cbed2b6e,
pantry__f246bb8a3d7e,pantry,446,447,SKIPPED,qa,2026-06-24T01:05:48Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/pantry__f246bb8a3d7e,
graphkit__25ebacd18c75,graphkit,511,512,SKIPPED,qa,2026-06-24T05:02:16Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/graphkit__25ebacd18c75,
graphkit__6363ce2ca293,graphkit,512,513,SKIPPED,qa,2026-06-24T01:06:13Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/graphkit__6363ce2ca293,
graphkit__e0e9e8fd1032,graphkit,513,514,SKIPPED,qa,2026-06-24T01:06:24Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/graphkit__e0e9e8fd1032,
dineops__fc02d0986176,dineops,407,408,ERROR,generation,2026-06-24T01:06:24Z,Row 407 is missing required columns: Visible Test Command Guess,,
godhand__64b8f123b3cc,godhand,1,2,SKIPPED,qa,2026-06-24T01:06:36Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/godhand__64b8f123b3cc,
bulwark__71c6154c597e,bulwark,844,845,SKIPPED,qa,2026-06-24T19:04:01Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/bulwark__71c6154c597e,
cryograph__22291410b572,CryoGraph,400,401,SKIPPED,qa,2026-06-24T19:04:25Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/cryograph__22291410b572,
bynaus-ai-companion__4134a2fc1079,bynaus-ai-companion,26,27,SKIPPED,qa,2026-06-24T19:04:57Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/bynaus-ai-companion__4134a2fc1079,
bynaus-ai-companion__e23adf2c631c,bynaus-ai-companion,27,28,SKIPPED,qa,2026-06-24T19:05:16Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/bynaus-ai-companion__e23adf2c631c,
rope-new-repo-root__2198416b3772,rope-new-repo-root,1026,1027,SKIPPED,qa,2026-06-24T19:05:28Z,QA skipped by --skip-qa.,/Users/anwesha/Desktop/aq_frontiercode/generated_tasks/rope-new-repo-root__2198416b3772,
