Repository,Task ID,Bug / Task Description,Fix Commit,Patch Length (LOC),Base Commit,Source Archive,Archive Repo Root,Commit Subject,Confidence,Score,Changed File Count,Test File Count,Pass QA?,GPT5.5 Pass Rate,Visible Test Command Guess
whaler,whaler__bba744a8cb72,Fix(mobile): use neutral camera permission copy (#1504),bba744a8cb72b4eeb8fabff1658acff4b2d16945,70,b5d2b288b68672c25b2de7c7f3e4477cebac4910,project_silver_repos/oxneHL3CRifbHfhEpV09__whaler.zip,whaler,fix(mobile): use neutral camera permission copy (#1504),high,25,4,1,,,npm test
FlowQ,flowq__3c93af722e83,"Fix: resolve test isolation, timeout=None DB constraint, and Semaphore.acquire blocking",3c93af722e832fbc89d2ec58afeea1a048113591,43,7f39fd7bd010550c6e55041b6f77f921643bfb94,project_silver_repos/HTNhvrcMMTlisfdZJgLV__FlowQ.zip,FlowQ,"fix: resolve test isolation, timeout=None DB constraint, and Semaphore.acquire blocking",high,24,5,2,,,pytest
tableflow,tableflow__cffb29d72125,"Investigate and fix sanitize, traversal issue indicated by commit 'test(files): sanitize_filename rejects path traversal + build_upload_key prefixing' in backend/apps/files/tests/test_storage.py.",cffb29d7212569f40db008d1a40a2f700e4db079,17,056b46d03b1bccf3ebe80584773edd6752ef8af0,project_silver_repos/HZToCMOcU97mVDAqXPpG__tableflow.zip,tableflow,test(files): sanitize_filename rejects path traversal + build_upload_key prefixing,high,24,1,1,,,make test
LocalPay-System-and-API,localpay-system-and-api__436073122c93,Fixed the issue that woud cause in race condtion and reopining paid invocie by making them uni in qb constrinet,436073122c93abc145dc03d1b51028cab7e87318,268,f3badbf9790d05c9eb7c47b1733bccaa3b0642d3,project_silver_repos/nGIkUIMl9OuYeQAh5XtC__LocalPay-System-and-API.zip,.,fixed the issue that woud cause in race condtion and reopining paid invocie by making them uni in qb constrinet,high,23,3,1,,,npm test
Sefarius,sefarius__141e5b79e4a2,Fix(frontend): surface inline validation errors on stepper Next click,141e5b79e4a22c31f1905e3f3d010cc63d9fc220,118,9088b609d6fa221dbb104e1724fee070031be4b8,project_silver_repos/UMUsuLdxETQowOJrP247__Sefarius.zip,Sefarius,fix(frontend): surface inline validation errors on stepper Next click,high,23,3,1,,,npm install && npm test (verify package.json scripts)
AI-Translator,ai-translator__6ce1778959d8,Fix memory leak in translation runtime,6ce1778959d821819a674291030c2cf0484b48b6,2,e497fdb08dfa97410c20d257aa855345a2f97a2c,project_silver_repos/rET3t29vzQ1Zvgc7mWLY__AI-Translator.zip,.,Fix memory leak in translation runtime,high,22,2,2,,,npm install && npm test (verify package.json scripts)
analytics-service,analytics-service__40283cb9caf4,Fix: correct API Gateway base path configuration for integration tests,40283cb9caf461e802f7a028d6eca1542b2108d3,31,1041c791f80f393d6b5dacfce2efd8bd28f02fa6,project_silver_repos/daK6vFWbcBwjsBaCuxhu__analytics-service.zip,analytics-service,fix: correct API Gateway base path configuration for integration tests,high,22,3,2,,,npm test
Drift,drift__6b3b3eab8b31,Fix(perf): eliminate eager materialization in Range and String for-loop iteration,6b3b3eab8b3105b1ec9f8178b6c0fa32892007d2,92,8b2bff81ab005abd5caa3414e88468cb1be95748,project_silver_repos/X8XXIPwxL5jBaLXhkNQ3__Drift.zip,.,fix(perf): eliminate eager materialization in Range and String for-loop iteration,high,22,2,1,,,go test ./...
lattice,lattice__23054d638807,"Investigate and fix fix, panic issue indicated by commit 'pkg/watcher: idempotent close + tests; fix double-close panic on ctx cancel + stop()' in pkg/watcher/watcher.go.",23054d638807b8daa770115265517f8b8acb938d,122,31939b18ccc2e5860e306a5090de73e11c244603,project_silver_repos/MB23sclvKuAn0RLTdVW1__lattice.zip,lattice,pkg/watcher: idempotent close + tests; fix double-close panic on ctx cancel + stop(),high,22,2,1,,,go test ./...
Sefarius,sefarius__65401db91b31,"Fix(auth): confirmReset auto-login + UX (toggle olho, regras de senha)",65401db91b312005330946c583b301fa665cb2a9,328,443efc3915d0d5b8a8b162762da90cfd5748546e,project_silver_repos/UMUsuLdxETQowOJrP247__Sefarius.zip,Sefarius,"fix(auth): confirmReset auto-login + UX (toggle olho, regras de senha)",high,22,6,1,,,npm install && npm test (verify package.json scripts)
durab,durab__d2a6859db0cb,"Investigate and fix race, concurrent issue indicated by commit 'concurrent start race test' in internal/engine/concurrency_test.go.",d2a6859db0cbf4e47eca5ec2937b33218c5d6676,51,f7a3bd1f4b3f46b9a50d4586c4e32ffce2d62649,project_silver_repos/rpeJuWN03rRjNHcOuZC8__durab.zip,durab,concurrent start race test,high,21,1,1,,,go test ./...
listeners,listeners__11c837bf5914,"Investigate and fix fix, null issue indicated by commit 'Universal PL / fix [NULL]' in universal-pl/src/main/kotlin/us/agrinet/listeners/SocketRequestHandler.kt, universal-pl/src/main/kotlin/us/agrinet/listeners/db/Weatherdata.kt, universal-pl/src/main/kotlin/us/agrinet/listeners/parsers/AnmTelemetryParser.kt.",11c837bf5914785f27b8be589b86f789f2be3fe6,24,23475693bceef359fe2b1f9574695d367710cf45,project_silver_repos/spBqW3o4vqBH2MkI0r5p__listeners.zip,listeners,Universal PL / fix [NULL],high,21,7,3,,,mvn test
repayment-service,repayment-service__90013e1527a4,"Fix: restore paymentSuccessful endpoint, make CPA_ATTEMPT_LIMIT configurable, add null check for cpaAttemptCount, complete OpenAPI spec",90013e1527a436a56aad4ca98a0aa0dbbbed0df2,257,cc54717a9e04b16a131781eaeb104a90e21ac7c6,project_silver_repos/UL8oMB1GmGgKChghMd26__repayment-service.zip,repayment-service,"fix: restore paymentSuccessful endpoint, make CPA_ATTEMPT_LIMIT configurable, add null check for cpaAttemptCount, complete OpenAPI spec",high,21,9,1,,,npm test
synapsemq-repo,synapsemq-repo__0190b8649c80,"Investigate and fix validation, auth issue indicated by commit 'test(auth): token validation, permission model, and audit log unit tests' in tests/unit/test_auth.py.",0190b8649c80af85127ad568eddea9f61675c224,312,07d27a2098494fc98ffabcd39a0c33ef52fb3294,project_silver_repos/ALuS2PZifQVdMxFGB1oV__synapsemq-repo.zip,.,"test(auth): token validation, permission model, and audit log unit tests",high,21,1,1,,,pytest
Tenora-Api,tenora-api__1ce913d755e6,"Investigate and fix validation, edge issue indicated by commit 'Add auth validation edge case tests' in tests/edge-cases/validation.test.ts.",1ce913d755e61b11346a2a20818d74071678d77b,55,11ab24ce0e5c89cf72a377d03109cd2422db0715,project_silver_repos/1AF8O1L47dGcZ3rCP5pI__Tenora-Api.zip,my-task/tenora-rbac-escalation/environment/repo,Add auth validation edge case tests,high,21,1,1,,,npm test
bynaus-ai-companion,bynaus-ai-companion__4134a2fc1079,Fix: resolve email sync crash (associations=None) and SysEng brief ObjectId error,4134a2fc1079e314bbdf33c666ea539c13b2208d,547,e925934085efdac41ea72a7c61fe06a164a16cdd,project_silver_repos/WoTy8fuKzbnsbJ3f68LA__bynaus-ai-companion.zip,bynaus-ai-companion,fix: resolve email sync crash (associations=None) and SysEng brief ObjectId error,high,20,8,1,,,pytest
bynaus-ai-companion,bynaus-ai-companion__e23adf2c631c,Fix: resolve email sync crash (associations=None) and SysEng brief ObjectId error,e23adf2c631c9d8fbe8a18651e1b09fc52ab5742,547,613db5c1f8bb205bef323bec710d8e94084e0f42,project_silver_repos/WoTy8fuKzbnsbJ3f68LA__bynaus-ai-companion.zip,bynaus-ai-companion,fix: resolve email sync crash (associations=None) and SysEng brief ObjectId error,high,20,8,1,,,pytest
cobol-rekt,cobol-rekt__555098ca5886,"Fixing bug in TranspilerNode creation inside IF-THEN clauses, since statements are no longer wrapped in ConditionalStatementContext objects",555098ca5886cad3ff164a5675703098d4406895,241,9a1029903ce4c4e97342ba1f4a3eeceeb3ce7427,project_silver_repos/xCbpL93WUoaPJtZCv9CO__cobol-rekt.zip,.,"Fixing bug in TranspilerNode creation inside IF-THEN clauses, since statements are no longer wrapped in ConditionalStatementContext objects",high,20,7,2,,,mvn test
cobol-rekt,cobol-rekt__f77fb0cc1b39,"Investigate and fix traversal issue indicated by commit 'Test for tree mapping traversal' in smojol-toolkit/src/main/java/org/smojol/toolkit/analysis/task/analysis/CodeSummaryVisitor.java, smojol-toolkit/src/main/java/org/smojol/toolkit/analysis/task/analysis/DataSummaryVisitor.java, smojol-toolkit/src/main/java/org/smojol/toolkit/analysis/task/analysis/SummariseThroughLLMTask.java.",f77fb0cc1b39d3044b2225af3a43767168e081dc,116,5884eaf4b76cf505c8a942088f6bfd8f26dfe403,project_silver_repos/xCbpL93WUoaPJtZCv9CO__cobol-rekt.zip,.,Test for tree mapping traversal,high,20,6,1,,,mvn test
containerctl,containerctl__9f2ef8d0964a,"Investigate and fix parse, decoder issue indicated by commit 'oci/runtime/parse: lenient decoder tolerating extra fields' in internal/oci/runtime/parse/decoder/lenient/lenient.go.",9f2ef8d0964a6074528009b5dda92d5b2cd1cf9d,60,be574eeb478b6c4afbdd5ef546c3d86f3e5882a3,project_silver_repos/yjLErScIYT4X7CgfAYwz__containerctl.zip,containerctl,oci/runtime/parse: lenient decoder tolerating extra fields,high,20,2,1,,,go test ./...
containerctl,containerctl__be574eeb478b,"Investigate and fix parse, decoder issue indicated by commit 'oci/runtime/parse: strict decoder rejecting unknown fields' in internal/oci/runtime/parse/decoder/strict/strict.go.",be574eeb478b6c4afbdd5ef546c3d86f3e5882a3,116,a5ce1148aebdfd1a9223a22844b24b936537d76c,project_silver_repos/yjLErScIYT4X7CgfAYwz__containerctl.zip,containerctl,oci/runtime/parse: strict decoder rejecting unknown fields,high,20,2,1,,,go test ./...
containerctl,containerctl__cde04264627d,"Investigate and fix timeout, path issue indicated by commit 'rules/lifecycle/hooks: HK0001-HK0003 (relative path, timeout, prestart deprecation)' in internal/rules/lifecycle/hooks/hk/hk.go.",cde04264627d7c800e2446d0608ae9f4558198d0,154,e3b9c49d1107d150fa5ca0303d4e5625160f4785,project_silver_repos/yjLErScIYT4X7CgfAYwz__containerctl.zip,containerctl,"rules/lifecycle/hooks: HK0001-HK0003 (relative path, timeout, prestart deprecation)",high,20,2,1,,,go test ./...
durab,durab__2ce0a91dc026,"Investigate and fix timeout, loop issue indicated by commit 'wire timeout loop + tests' in cmd/durab-server/main.go.",2ce0a91dc026ce209fa47c77b0b9f8eaf50ef0e2,60,2bb0af35d20a75417cc7279f869dd09890db88f6,project_silver_repos/rpeJuWN03rRjNHcOuZC8__durab.zip,durab,wire timeout loop + tests,high,20,2,1,,,go test ./...
LeapFrog-cards-service,leapfrog-cards-service__1010ab52c2d6,"Investigate and fix fix, validation issue indicated by commit 'PRF-9178 | Fix for JP state validation & added unit tests for JP changes (#584)' in src/main/java/com/gap/ccs/util/BaseUtil.java, src/main/java/com/gap/ccs/validator/CustomerCardValidator.java.",1010ab52c2d6bbf6f5f84400822ba22332fc9a52,114,d6bef7a75676f5d2a772fc9873b46af50a239d6f,project_silver_repos/hSvK5VQNm7jCj4F2ccLI__LeapFrog-cards-service.zip,.,PRF-9178 | Fix for JP state validation & added unit tests for JP changes (#584),high,20,5,3,,,./gradlew test or gradle test
rivulet,rivulet__7856bc667895,"Investigate and fix parser, security issue indicated by commit 'CEF (ArcSight) parser for security gear logs' in rivulet/parsers/cef.py.",7856bc667895b0ec8bc5888e41e7758cec5d1254,310,c3f20fc46fd8183e62414dc3a2f419441bfbdca9,project_silver_repos/BVFtlgghiqiUOo5O74N4__rivulet.zip,rivulet,CEF (ArcSight) parser for security gear logs,high,20,3,2,,,pytest
webstore,webstore__5f9eb398df40,Fix landing/auth routing to app subdomain and env setup,5f9eb398df40555cf4ba94a5fd5bea8b2be97d40,244,f2efe8cddd0e21384be9a85c9012719b3de33772,project_silver_repos/qWF7fYEpcZmF2R76TvsO__webstore.zip,webstore,Fix landing/auth routing to app subdomain and env setup,high,20,18,1,,,npm test
account-service,account-service__667cd420e898,Fix typing,667cd420e8982f5ebd9cd62f0f96362f0308a086,28,cde7c57d3bf3165e90cf38a27a928db79cc77b3f,project_silver_repos/ZJBXjRyXYE7wWXW3hGr3__account-service.zip,account-service,Fix typing,high,19,5,1,,,npm test
account-service,account-service__6dcf16f461db,Fix rabbit,6dcf16f461dbddaf6ded16fb5d62834126bed422,19,32fddcef54f81e365bca52cc9d857aabd5830cc7,project_silver_repos/ZJBXjRyXYE7wWXW3hGr3__account-service.zip,account-service,fix rabbit,high,19,2,1,,,npm test
account-service,account-service__cde7c57d3bf3,Fix remaining tests,cde7c57d3bf3165e90cf38a27a928db79cc77b3f,11,b0aa33509113b75e08b8b51851c111339496853a,project_silver_repos/ZJBXjRyXYE7wWXW3hGr3__account-service.zip,account-service,Fix remaining tests,high,19,2,1,,,npm test
arahaz_blog_sanitized_v3,arahaz-blog-sanitized-v3__54f579b59aba,Fix tagline sanitizer wait handling,54f579b59abaca29d2462fc700d0feac722efd11,21,9d9818608314100d4e35e5be9818fee5dff8696d,project_silver_repos/BKcvkw9XudinNsunthg9__arahaz_blog_sanitized_v3.zip,arahaz_blog_sanitized_v3,Fix tagline sanitizer wait handling,high,19,3,1,,,
authentication-oidc,authentication-oidc__0610d946a519,Fix: date type transform,0610d946a519e3416feb5a51ad3043be5a6f71d0,9,319d2a07e3a26c0a0136d31621ab0b8bb1b4160b,project_silver_repos/kBxiwJ5smfNawnmzbHA9__authentication-oidc.zip,authentication-oidc,fix: date type transform,high,19,3,1,,,npm test
authentication-oidc,authentication-oidc__8a73527b6daa,Fix: user info tests,8a73527b6daae2f3147b503cf49f81e4f5a64ab3,6,bed31c06f3226a54a550dcbb0afbfe5b8a49fbd0,project_silver_repos/kBxiwJ5smfNawnmzbHA9__authentication-oidc.zip,authentication-oidc,fix: user info tests,high,19,2,1,,,npm test
bco,bco__426f04f2a64d,Fix(core): T006 debounce Bluetooth events in engine (#371),426f04f2a64d994d2ee41b889dcece6e9330e609,162,a5be82f5982829873f318240054fa03e28314840,project_silver_repos/Spc6c6eUVzrMmuj0EeR4__bco.zip,.,fix(core): T006 debounce Bluetooth events in engine (#371),high,19,2,1,,,
bco,bco__ce89b3bbabb3,"Investigate and fix race issue indicated by commit 'feat(go-core): T037 Makefile, test-ci, and stable race tests (#219)' in bco-core/network.go, bco-core/ratelimit.go.",ce89b3bbabb38391932aced80e880764acdb9b31,159,33abd8efa357a8d91df6e494955ba435a7a928bb,project_silver_repos/Spc6c6eUVzrMmuj0EeR4__bco.zip,.,"feat(go-core): T037 Makefile, test-ci, and stable race tests (#219)",high,19,5,2,,,
bco,bco__f4e2537daac4,Fix(core): T013 use headset display name in activity messages (#378),f4e2537daac44d9e7023c7c01dfa825c2aad483d,49,57d17045d093d483a60ef57344562db5f7adb9f6,project_silver_repos/Spc6c6eUVzrMmuj0EeR4__bco.zip,.,fix(core): T013 use headset display name in activity messages (#378),high,19,2,1,,,
credit-card-onboarding-service,credit-card-onboarding-service__6bf52dc24df3,Fix: accept cashAdvance as number in ingestAggregator schema,6bf52dc24df31a39b175320f0137cbd720c4896b,20,d401ce679457155a7fec6117a596204a8a62f144,project_silver_repos/KySuDnBe6Rr59YOjUZKq__credit-card-onboarding-service.zip,credit-card-onboarding-service,fix: accept cashAdvance as number in ingestAggregator schema,high,19,2,1,,,npm install && npm test (verify package.json scripts)
cvideolal,cvideolal__3b9bf4f0621f,Fix: load fonts before all layout computations (#240),3b9bf4f0621f35527158fc406e4e8144a94b21b7,17,39eec5c6de8d01c2eb6d0c8c4e3c99de5112c108,project_silver_repos/QbUCyPcpFtnS8mb0hVNL__cvideolal.zip,cvideolal,fix: load fonts before all layout computations (#240),high,19,5,3,,,npm install && npm test (verify package.json scripts)
deepface-unity-age-estimator,deepface-unity-age-estimator__367ece08efab,"Investigate and fix traversal, path issue indicated by commit 'test(utils): cover path traversal protection and file size walks' in tests/test_utils_paths.py.",367ece08efabe33f3dde2fdb376663f1e4712405,67,92df0a6a72d1941ea518a941dec59a6df420db54,project_silver_repos/2ONWLvuJ8D90NBDdRSK3__deepface-unity-age-estimator.zip,deepface-unity-age-estimator,test(utils): cover path traversal protection and file size walks,high,19,1,1,,,pytest
Drift,drift__eda70394c8ec,"Fix(perf): eliminate DotExpr allocation, fix stdlib map/filter/reduce with evaluator callback",eda70394c8ec233d80167b842a8ed868b7fefca9,71,7a804a21697f67621940578ded07339eb175170e,project_silver_repos/X8XXIPwxL5jBaLXhkNQ3__Drift.zip,.,"fix(perf): eliminate DotExpr allocation, fix stdlib map/filter/reduce with evaluator callback",high,19,6,2,,,go test ./...
godhand,godhand__550c995fb17c,Fix: restore lobby routing fallback and backend test stability,550c995fb17c4aa1491e09f42ab9d96fac3d14fa,72,1e652d6326a894b1174bdd2f7d6ff451a1f125a7,project_silver_repos/JReZXndfFv1WU9etK4hE__godhand.zip,.,fix: restore lobby routing fallback and backend test stability,high,19,4,2,,,make (inspect Makefile targets)
LatticeSync,latticesync__94b67e325245,Fix(sync): use sender-scoped message IDs in CausalBroadcast to prevent cross-node dedup collision,94b67e3252451deb2ba57b287e99908dec8760aa,24,3c0d9006cecaea4d5a8f627444f764dbf730fd78,project_silver_repos/JTeM7HFlxEboiW4qAQY7__LatticeSync.zip,.,fix(sync): use sender-scoped message IDs in CausalBroadcast to prevent cross-node dedup collision,high,19,2,1,,,npm test
LatticeSync,latticesync__f81160bc7fba,"Fix(perf): optimize MerkleDAG — add depth memoization cache, fix LCA performance",f81160bc7fba05b294bc32303f92a474c2336b02,52,a71a432600445c0ea264ba3ec3b50f9833175a67,project_silver_repos/JTeM7HFlxEboiW4qAQY7__LatticeSync.zip,.,"fix(perf): optimize MerkleDAG — add depth memoization cache, fix LCA performance",high,19,2,1,,,npm test
LeapFrog-cards-service,leapfrog-cards-service__203c27b5a953,Fix junit tests,203c27b5a9536ba5968d9b9c981fc67899b58bd7,20,29b98d628366231670685422b83974c29985c658,project_silver_repos/hSvK5VQNm7jCj4F2ccLI__LeapFrog-cards-service.zip,.,Fix junit tests,high,19,3,2,,,./gradlew test or gradle test
LeapFrog-cards-service,leapfrog-cards-service__e62cd8bdb419,Fix junit tests,e62cd8bdb419d962be4e2a745e99b29b406a015a,20,f358ba68cb991b6290d395d7c97bdfb83080affc,project_silver_repos/hSvK5VQNm7jCj4F2ccLI__LeapFrog-cards-service.zip,.,Fix junit tests,high,19,3,2,,,./gradlew test or gradle test
listeners,listeners__349c9c1890bc,Fix GVE,349c9c1890bcbd41693957c70b5cfbef021258cd,22,9f61dbf007b3af081a7bd1ec87482481094c6e5f,project_silver_repos/spBqW3o4vqBH2MkI0r5p__listeners.zip,listeners,Fix GVE,high,19,4,1,,,mvn test
listeners,listeners__4377966bb72c,Fix,4377966bb72c6b8611a01a28284e83738e9ff247,36,589843e1ce42508ffd30523d7c7de4d5a408fad4,project_silver_repos/spBqW3o4vqBH2MkI0r5p__listeners.zip,listeners,fix,high,19,3,1,,,mvn test
LocalPay-System-and-API,localpay-system-and-api__3df1d6b35be9,Fixed the tst cases but they still need more coverage and statement,3df1d6b35be93c7d2efb9a8359c1b18b83c53051,60,237005e4f21eb848bb081c0b75462ada169ed3d5,project_silver_repos/nGIkUIMl9OuYeQAh5XtC__LocalPay-System-and-API.zip,.,fixed the tst cases but they still need more coverage and statement,high,19,5,3,,,npm test
meshlink,meshlink__c0f3229c8825,Fix: race condition in registry,c0f3229c8825baeb7b24b5beebefc109d77da029,499,2f179b37dc372dd96ad5f0745fe84157b4d20cd9,project_silver_repos/O2kEIQypm6SmPPkjgQxZ__meshlink.zip,.,fix: race condition in registry,high,19,1,1,,,pytest
msgpackd,msgpackd__34eec05dc207,"Investigate and fix bug, regression issue indicated by commit 'tests/regression: specific bug reproductions' in tests/regression/canonical/canonical_test.go, tests/regression/decoder/regression_test.go, tests/regression/encoder/encoder_test.go.",34eec05dc2071aa1d485d62c6b2f2304d6711ee5,126,984a96d3ba01f7e5886bd1600e0a4d27221a9376,project_silver_repos/r2gK9rOA5SUAgVKpA3qU__msgpackd.zip,msgpackd,tests/regression: specific bug reproductions,high,19,3,3,,,go test ./...
msgpackd,msgpackd__e1ac2c244fd9,"Investigate and fix decode, encode issue indicated by commit 'examples: basic encode/decode roundtrip' in examples/encode_decode/main.go.",e1ac2c244fd9bba440ce946456286042557ace25,56,0cc1573e468affa2c70c0aac503aabd0c2f11abe,project_silver_repos/r2gK9rOA5SUAgVKpA3qU__msgpackd.zip,msgpackd,examples: basic encode/decode roundtrip,high,19,2,1,,,go test ./...
nimbus,nimbus__882b8a83b356,Investigate and fix security issue indicated by commit 'api: standard security headers on every response' in services/api/src/nimbus_api/middleware/security_headers.py.,882b8a83b356eb7a3b48ee935cb36f8f01666622,73,872732e1a47a2a119678df2bfd90c85aca12c0e5,project_silver_repos/OwE5VYrw5JdtILMqcl8m__nimbus.zip,nimbus,api: standard security headers on every response,high,19,2,1,,,pytest
orca,orca__dbf0391c2de3,Fix: correct API usage across all new modules and add Record.Set/WithSeq helpers,dbf0391c2de3282e62745323b79a6889bb48588a,84,0ffd6fd72115c22f5a09e2ade39f2a929fd98589,project_silver_repos/o5VKojoe2gAiPaYl8S4O__orca.zip,orca,fix: correct API usage across all new modules and add Record.Set/WithSeq helpers,high,19,9,4,,,go test ./...
POSbi,posbi__6b98aa717883,Fix: exclude test files from app tsconfig to prevent build failures,6b98aa71788337d5cd239d6b6d6383bdfaf0071a,15,786045abdddae7d970c7f38f571a8cbcb85012b2,project_silver_repos/9151KZImWfF3HRYQkzKY__POSbi.zip,POSbi,fix: exclude test files from app tsconfig to prevent build failures,high,19,3,1,,,npm test
ProjectHalos,projecthalos__1f46963cc6db,Fix(apikey): break the SecurityConfig <-> UserService cycle,1f46963cc6dbdf6a42170ab7ad26cdd1759bff67,37,756b779eb453c7b853c60765b098bd4399c599f6,project_silver_repos/btrFAxPlZhM0NV3Xqrpi__ProjectHalos.zip,ProjectHalos,fix(apikey): break the SecurityConfig <-> UserService cycle,high,19,2,1,,,mvn test
pulselog,pulselog__1d78bb99f69a,Fix: add training library sources (batch 48),1d78bb99f69a10860e0862748ce34711ece98510,13,3a9c14874b4469ffe3cdfdc628c34331f2c47ec4,project_silver_repos/XR6AxiG7VwKZ3zsts4k5__pulselog.zip,.,fix: add training library sources (batch 48),high,19,2,1,,,npm test
pulselog,pulselog__de76453bdb14,Fix: add training library sources (batch 60),de76453bdb1411e7bd534db22349c22bed4f1af7,22,8c51c280e9a55aca8547701628c70660bc71787f,project_silver_repos/XR6AxiG7VwKZ3zsts4k5__pulselog.zip,.,fix: add training library sources (batch 60),high,19,2,1,,,npm test
pulselog,pulselog__f17d1defbe50,Fix: add training library sources (batch 30),f17d1defbe50d404f7bda7f522ed86d90ef93182,21,83adfaa14b6b01349a03dc4dd94f89613088c086,project_silver_repos/XR6AxiG7VwKZ3zsts4k5__pulselog.zip,.,fix: add training library sources (batch 30),high,19,2,1,,,npm test
qraft,qraft__07ee5e41e940,"Investigate and fix timeout, regression issue indicated by commit 'test: add timeout regression test for result backend' in tests/test_result_backend.py.",07ee5e41e940aba02f5e2c76efaa9673433b04b6,6,c3fce80c5997042e5313a4dcbfaf21839ac852fe,project_silver_repos/rSJtA9a9tO6co3yvx338__qraft.zip,qraft,test: add timeout regression test for result backend,high,19,1,1,,,pytest
repayment-service,repayment-service__33eb5dbd78f9,Fix result response in tests,33eb5dbd78f92bbafb9b82030c338e1faaa431e3,17,8d348d03511feec4b6048ac598c0a58458d33510,project_silver_repos/UL8oMB1GmGgKChghMd26__repayment-service.zip,repayment-service,Fix result response in tests,high,19,3,2,,,npm test
