rank,repo,candidates,best_score,source_archive
47,Faillink,1,66.0,project_silver_repos/NxE6li2ZRWge2lf447bz__Faillink.zip
48,verity,1,66.0,project_silver_repos/MXpn38SljWbQrUIjVnFP__verity.zip
49,taskflow,1,62.5,project_silver_repos/JfNWXRQeascsOF06no32__taskflow.zip
50,conveyor,1,58.0,project_silver_repos/d2R6FcyG0cpOrVy7K2SJ__conveyor.zip
51,Dream-Car-Scraper,1,58.0,project_silver_repos/K4tnsms9tZ56LcLagRtp__Dream-Car-Scraper.zip
52,sensorhub,1,57.0,project_silver_repos/1Q8J8PBsg1fBZGuyKGZ8__sensorhub.zip
53,budget,1,56.0,project_silver_repos/4FU2m7qQrlzyeiujgMDX__budget.zip
54,conduit,1,56.0,project_silver_repos/CdVOpKbFc7X31hPTONG5__conduit.zip
55,roastboard,1,54.5,project_silver_repos/kfqjvYiGFXK4kF2ka3mA__roastboard.zip
56,airline-passenger-forecast,1,50.0,project_silver_repos/IHFIBBJOFvF7d5TXhyki__airline-passenger-forecast.zip
57,spam-classifier,1,50.0,project_silver_repos/4mGv6JFIfHanuardnwfy__spam-classifier.zip
58,repo,1,50.0,project_silver_repos/BFtaTHf3SbqvIOXKsplT__repo.zip
59,erp_repo,1,49.5,project_silver_repos/BgSg07KtmUqQ41oan3rj__erp_repo.zip
60,ruleforge,1,49.5,project_silver_repos/MzJDLo2l2EH2YfJOFtSf__ruleforge.zip
61,synapsemq-repo,1,48.5,project_silver_repos/ALuS2PZifQVdMxFGB1oV__synapsemq-repo.zip
62,workfinder-repo,1,46.5,project_silver_repos/Bn2DC85oAGTiTZQgp2nG__workfinder-repo.zip
63,Smartbiometricsecurity,1,37.5,project_silver_repos/c4BrdKoQWiPiSW1w7m5q__Smartbiometricsecurity.zip
64,workflow-engine,1,37.5,project_silver_repos/Ej4FI2J4cm00XsDJ2r45__workflow-engine.zip
65,deepface-unity-age-estimator,1,37.0,project_silver_repos/2ONWLvuJ8D90NBDdRSK3__deepface-unity-age-estimator.zip
66,riftlog,1,37.0,project_silver_repos/suyW0suCDAbdwFeqASV7__riftlog.zip
67,zendesk,1,33.5,project_silver_repos/nxePVWTK4sCsvryDs25r__zendesk.zip
68,stockflow,1,32.0,project_silver_repos/d6SBDXivGcGAYS93PJGZ__stockflow.zip
69,taskqueue_final,1,32.0,project_silver_repos/U2fJRtdX8i3XDkzZkWGc__taskqueue_final.zip
70,fueltrack,1,31.5,project_silver_repos/f2uYmrDqtij1luMbSpcN__fueltrack.zip
71,hunt,1,29.5,project_silver_repos/cXLLvzfIwZfm0S78Kvi3__hunt.zip
72,EvalForge,1,23.5,project_silver_repos/SiRLHVuDdjZIykfrf992__EvalForge.zip
73,atlas,1,7.5,project_silver_repos/H63Kz7E92UtA7J0RCGVz__atlas.zip
74,async-api-monitor,1,7.5,project_silver_repos/IR6vUTfIAEWIf7495deo__async-api-monitor.zip
75,Numin-Trading-Dashboard,1,6.0,project_silver_repos/M0qxY06hlwG5C5FSJzuK__Numin-Trading-Dashboard.zip
76,Anton_wireframe,1,2.5,project_silver_repos/Cqbkv3wYLNmYm3iNHq7J__Anton_wireframe.zip
77,vaultkey,1,-4.0,project_silver_repos/m79hsogUkkqCHC8WRIli__vaultkey.zip
